标准专业,门类,专业类,专业代码,考试轨道,来源,待确认,开设次数,示例招生名
中药制药,医学,医学类,,校考,名称规则,否,1,中药制药
中药学,医学,医学类,,混合,名称规则,否,5,中药学
书法学,艺术学,艺术设计类,,校考,名称规则,是,1,书法学
互联网金融,经济学,经济学类,,混合,名称规则,否,3,互联网金融
交通工程,工学,土木类,,统考,名称规则,是,1,交通工程
交通运输,工学,机械类,,统考,名称规则,是,1,交通运输
产品设计,艺术学,艺术设计类,130504,统考,统考表,否,10,产品设计
人力资源管理,管理学,工商管理类,120206,统考,统考表,否,15,人力资源管理
人工智能,工学,计算机类,,混合,名称规则,否,6,人工智能｜人工智能（产教融合创新班）｜人工智能（卓越创新班）
人文地理与城乡规划,工学,土木类,,校考,名称规则,是,2,人文地理与城乡规划
企业数字化管理,管理学,市场营销类,,统考,名称规则,是,1,企业数字化管理
休闲体育,教育学,教育学类,,校考,名称规则,是,2,休闲体育
会展经济与管理,管理学,市场营销类,,校考,名称规则,是,1,会展经济与管理
会计学,管理学,工商管理类,120203,统考,统考表,否,23,会计学｜会计学（中英双语创新班）｜会计学（国际会计班）｜会计学（注册会计师）
传播学,文学,汉语言文学类,,校考,名称规则,是,1,传播学
体育教育,教育学,教育学类,,校考,名称规则,否,2,体育教育
供应链管理,管理学,市场营销类,,统考,名称规则,否,2,供应链管理
俄语,文学,英语类,,校考,名称规则,是,1,俄语
信息管理与信息系统,管理学,计算机类,,混合,名称规则,是,3,信息管理与信息系统
信息资源管理,管理学,行政管理类,,校考,科目推断,是,1,信息资源管理
健康服务与管理,管理学,行政管理类,,混合,名称规则,是,5,健康服务与管理
公共事业管理,管理学,行政管理类,,混合,名称规则,否,2,公共事业管理
公共关系学,管理学,行政管理类,,统考,名称规则,是,2,公共关系学
公共艺术,艺术学,艺术设计类,130506,统考,统考表,否,2,公共艺术
制药工程,工学,食品科学与工程类,,校考,名称规则,是,1,制药工程
动物科学,农学,农学类,,校考,名称规则,否,1,动物科学
动画,艺术学,艺术设计类,,统考,名称规则,否,6,动画
劳动与社会保障,管理学,行政管理类,,校考,名称规则,是,2,劳动与社会保障｜劳动社会保障
