性质,院校名称,专业组,专业号,批次,招生专业,公共课（科目）[分值：100/100],专业基础课（科目）[分值：100],专业综合课（科目）[分值：200],专综类型,学费,教学地点,住宿费,前置要求
公办,广东轻工职业技术大学,01,001,普通批,现代精细化工技术,政治 / 英语,高等数学,精细化工综合,校考,6410,未公布,1500,限招
公办,广东轻工职业技术大学,02,002,普通批,合成生物技术,政治 / 英语,高等数学,生物化学,校考,6410,未公布,1500,限招
公办,广东轻工职业技术大学,03,003,普通批,现代物流管理,政治 / 英语,高等数学,物流学,校考,5250,未公布,1500,限招
公办,广东轻工职业技术大学,04,004,普通批,机械电子工程技术,政治 / 英语,高等数学,机械工程基础,统考,6410,未公布,1500,限招
公办,广东轻工职业技术大学,05,005,普通批,产品设计,政治 / 英语,艺术概论,设计基础,统考,10000,未公布,1500,限招
公办,广州航海学院,01,001,普通批,金融学,政治 / 英语,经济学,金融学,统考,4590,黄埔校区,740-1700,不限
公办,深圳职业技术大学,01,001,普通批,护理,政治 / 英语,生理学,护理综合,校考,6000,西丽校区,1200-1500,限招
公办,深圳职业技术大学,02,002,普通批,园林景观工程,政治 / 英语,生态学基础,园林景观综合,校考,6000,西丽校区,1200-1500,限招
公办,韶关学院,01,001,普通批,法学,政治 / 英语,民法,法理学,统考,5050,韶乐园校区,750-1500,不限
公办,韶关学院,02,002,普通批,汉语言文学(师范),政治 / 英语,大学语文,汉语言文学学科基础,统考,5050,韶乐园校区,750-1500,不限
公办,韶关学院,03,003,普通批,数学与应用数学(师范),政治 / 英语,高等数学,数学专业综合,统考,5710,韶乐园校区,750-1500,不限
公办,韶关学院,04,004,普通批,英语(师范),政治 / 英语,大学语文,英语基础与写作,统考,5710,韶乐园校区,750-1500,不限
公办,韶关学院,05,005,普通批,学前教育(师范),政治 / 英语,教育理论,学前教育基础,统考,5050,韶乐园校区,750-1500,不限
公办,韶关学院,06,006,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,10000,韶乐园校区,750-1500,不限
公办,韶关学院,07,007,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,5050,韶乐园校区,750-1500,不限
公办,韶关学院,08,008,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,5050,韶乐园校区,750-1500,不限
公办,韶关学院,09,029,普通批,药学,政治 / 英语,生理学,药学综合,校考,6380,惠州卫生职业技术学院,750-1500,限招
公办,仲恺农业工程学院,01,001,普通批,生物技术,政治 / 英语,高等数学,遗传学,统考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,02,002,普通批,林学,政治 / 英语,生态学基础,遗传学,统考,4570,白云校区,1000-1500,限招
公办,仲恺农业工程学院,03,004,普通批,投资学,政治 / 英语,经济学,金融学,统考,5050,白云校区,1000-1500,限招
公办,仲恺农业工程学院,04,005,普通批,社会工作,政治 / 英语,民法,法理学,统考,5050,海珠校区,600-1500,限招
公办,仲恺农业工程学院,05,006,普通批,行政管理,政治 / 英语,管理学,行政管理学,统考,5050,海珠校区,600-1500,限招
公办,仲恺农业工程学院,06,007,普通批,水产养殖学,政治 / 英语,生态学基础,鱼类增养殖学,校考,4570,白云校区,1000-1500,限招
公办,仲恺农业工程学院,07,008,普通批,动物科学,政治 / 英语,生态学基础,畜牧综合,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,08,009,普通批,日语,政治,大学语文,基础日语/日语翻译,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,09,010,普通批,环境工程,政治 / 英语,高等数学,环境工程专业综合,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,10,011,普通批,资源环境科学,政治 / 英语,高等数学,资源环境科学专业综合,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,11,012,普通批,土地科学与技术,政治 / 英语,生态学基础,土地科学与技术专业综合,校考,4570,白云校区,1000-1500,限招
公办,仲恺农业工程学院,12,013,普通批,给排水科学与工程,政治 / 英语,高等数学,市政工程基础,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,13,014,普通批,土木工程,政治 / 英语,高等数学,建筑材料,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,14,015,普通批,城乡规划,政治 / 英语,高等数学,城市规划原理,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,15,016,普通批,文化产业管理,政治 / 英语,管理学,文化产业管理概论,校考,5710,白云校区,1000-1500,限招
公办,仲恺农业工程学院,19,003,普通批,草业科学,政治 / 英语,生态学基础,遗传学,统考,4570,白云校区,1000-1500,限招
公办,广东医科大学,01,001,普通批,护理学,政治 / 英语,生理学,护理学综合,校考,6960,广东食品药品职业学院龙洞校区,430-1700,限招
公办,广东医科大学,02,002,普通批,护理学,政治 / 英语,生理学,护理学综合,校考,6960,肇庆医学高等专科学校,1200-1500,限招
公办,广东医科大学,03,003,普通批,护理学,政治 / 英语,生理学,护理学综合,校考,6960,东莞职业技术学院西校区,1100,限招
公办,广东医科大学,04,004,普通批,药学,政治 / 英语,生理学,药学综合,校考,6960,广东食品药品职业学院龙洞校区,430-1700,限招
公办,广东医科大学,05,005,普通批,药学,政治 / 英语,生理学,药学综合,校考,6960,肇庆医学高等专科学校,1200-1500,限招
公办,广东医科大学,06,006,普通批,药学,政治 / 英语,生理学,药学综合,校考,6960,东莞职业技术学院西校区,1100,限招
公办,广东医科大学,07,007,普通批,中药学,政治 / 英语,生理学,中药学综合,校考,6960,广东食品药品职业学院龙洞校区,430-1700,限招
公办,广东医科大学,08,008,普通批,预防医学,政治 / 英语,生理学,预防医学,校考,7656,肇庆医学高等专科学校,1200-1500,限招
公办,广东医科大学,09,009,普通批,健康服务与管理,政治 / 英语,管理学,健康服务与综合管理,校考,5510,肇庆医学高等专科学校,1100,限招
公办,广东医科大学,10,010,普通批,康复治疗学,政治 / 英语,生理学,康复治疗学综合,校考,6960,东莞职业技术学院西校区,1100,限招
公办,肇庆学院,01,01,普通批,学前教育（师范）,政治 / 英语,教育理论,学前教育基础,统考,5050,校本部,700-1500,不限
公办,肇庆学院,02,02,普通批,行政管理,政治 / 英语,管理学,行政管理学,统考,5050,校本部,700-1500,不限
公办,肇庆学院,03,03,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,5050,校本部,700-1500,不限
公办,肇庆学院,04,04,普通批,旅游管理,政治 / 英语,管理学,市场营销学,统考,5050,校本部,700-1500,不限
公办,肇庆学院,05,05,普通批,工艺美术,政治 / 英语,艺术概论,设计基础,统考,10000,校本部,700-1500,不限
公办,肇庆学院,05,06,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,10000,校本部,700-1500,不限
公办,岭南师范学院,01,001,普通批,汉语言文学(师范),政治 / 英语,大学语文,汉语言文学学科基础,统考,5050,寸金校区,1050-1700,限招
公办,岭南师范学院,02,002,普通批,英语（师范）,政治 / 英语,大学语文,英语基础与写作,统考,5710,寸金校区,1050-1700,限招
公办,岭南师范学院,03,003,普通批,机械设计制造及其自动化,政治 / 英语,高等数学,机械工程基础,统考,5710,寸金校区,1050-1700,限招
公办,岭南师范学院,06,004,普通批,机器人工程,政治 / 英语,高等数学,机械工程基础,统考,5710,寸金校区,1050-1700,限招
公办,广东技术师范大学,03,003,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,5050,广州番禺职业技术学院,800-1600,限招
公办,深圳技术大学,01,001,普通批,药学,政治 / 英语,生理学,药学综合,校考,6200,,1200,限招
公办,广东财经大学,01,001,普通批,行政管理,政治 / 英语,管理学,行政管理学,统考,5510,广州校区,1200-1600,限招
公办,广东财经大学,02,002,普通批,酒店管理,政治 / 英语,管理学,酒店管理综合,校考,5510,广州校区,1200-1600,限招
公办,广东财经大学,03,003,普通批,劳动社会保障,政治 / 英语,管理学,劳动与社会保障综合,校考,5510,佛山校区,1200-1600,限招
公办,嘉应学院,01,001,普通批,数学与应用数学(师范),政治 / 英语,高等数学,数学专业综合,统考,5170,校本部（江北校区）,850-1800,不限
公办,嘉应学院,02,002,普通批,汉语言文学(师范),政治 / 英语,大学语文,汉语言文学学科基础,统考,5050,校本部（江北校区）,850-1800,不限
公办,嘉应学院,03,003,普通批,英语（师范）,政治 / 英语,大学语文,英语基础与写作,统考,5170,校本部（江北校区）,850-1800,不限
公办,嘉应学院,04,004,普通批,公共事业管理,政治 / 英语,管理学,行政管理学,统考,5050,校本部（江北校区）,850-1800,不限
公办,嘉应学院,05,005,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,5050,校本部（江北校区）,850-1800,不限
公办,嘉应学院,06,006,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,5050,校本部（江北校区）,850-1800,不限
公办,嘉应学院,07,007,普通批,国际经济与贸易,政治 / 英语,经济学,国际贸易理论与实务,统考,5050,校本部（江北校区）,850-1800,不限
公办,嘉应学院,08,008,普通批,学前教育（师范）,政治 / 英语,教育理论,学前教育基础,统考,5050,校本部（江北校区）,850-1800,不限
公办,嘉应学院,09,009,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,5170,校本部（江北校区）,850-1800,不限
公办,广东第二师范学院,01,001,普通批,学前教育（师范）,政治 / 英语,教育理论,学前教育基础,统考,4590,广州海珠校区,883-1800,限招
公办,广东第二师范学院,02,002,普通批,汉语国际教育,政治 / 英语,大学语文,汉语言文学学科基础,统考,4590,广州花都校区,1050-1800,限招
公办,广东第二师范学院,03,003,普通批,社会工作,政治 / 英语,民法,法理学,统考,4590,广州花都校区,1050-1800,限招
公办,广东石油化工学院,01,001,普通批,机械设计制造及其自动化,政治 / 英语,高等数学,机械工程基础,统考,5710,官渡校区,740-1335,限招
公办,广东石油化工学院,01,002,普通批,材料成型及控制工程,政治 / 英语,高等数学,机械工程基础,统考,5710,官渡校区,740-1335,限招
公办,广东石油化工学院,02,003,普通批,过程装备与控制工程,政治 / 英语,高等数学,机械工程基础,统考,5710,官渡校区,740-1335,限招
公办,广东石油化工学院,03,004,普通批,数学与应用数学(师范),政治 / 英语,高等数学,数学专业综合,统考,5710,官渡校区,740-1335,限招
公办,广东石油化工学院,04,005,普通批,法学,政治 / 英语,民法,法理学,统考,5050,官渡校区,740-1335,限招
公办,广东石油化工学院,05,006,普通批,汉语言文学(师范),政治 / 英语,大学语文,汉语言文学学科基础,统考,5050,官渡校区,740-1335,限招
公办,广东石油化工学院,06,009,普通批,音乐表演,政治 / 英语,艺术概论,音乐表演（表演）,校考,10000,官渡校区或西城校区,740-1335,限招
公办,韩山师范学院,31,022,提前批,烹饪与营养教育,政治 / 英语,教育理论,烹饪工艺与营养专业综合,校考,5190,广东科贸职业学院,1200,不限
公办,韩山师范学院,32,023,普通批,环境工程,政治 / 英语,高等数学,环境学概论,校考,5190,广东环境保护工程职业学院,1400-1500,不限
公办,韩山师范学院,33,024,普通批,英语（师范）,政治 / 英语,大学语文,英语基础与写作,统考,5190,广东外语艺术职业学院,850,不限
公办,韩山师范学院,34,025,普通批,音乐学（师范）,政治 / 英语,艺术概论,音乐综合,校考,10000,广东外语艺术职业学院,950,限招
公办,韩山师范学院,35,026,普通批,食品质量与安全,政治 / 英语,高等数学,食品化学与分析,校考,5190,广东科贸职业学院,1200,不限
公办,韩山师范学院,36,027,普通批,旅游管理,政治 / 英语,管理学,旅游学概论,校考,4590,广东科学技术职业学院,1500,不限
公办,韩山师范学院,37,028,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,5190,广东科学技术职业学院,1500,不限
公办,韩山师范学院,38,029,普通批,人力资源管理,政治 / 英语,管理学,人力资源管理,统考,4590,广东科学技术职业学院,1500,不限
公办,韩山师范学院,39,030,普通批,经济学,政治 / 英语,经济学,金融学,统考,4590,广东科学技术职业学院,1500,不限
公办,韩山师范学院,40,031,普通批,财务管理,政治 / 英语,高等数学,基础会计学,统考,4590,广东科学技术职业学院,1500,不限
公办,韩山师范学院,41,032,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,10000,广东科学技术职业学院,1500,限招
公办,韩山师范学院,42,034,普通批,商务英语,政治 / 英语,大学语文,英语基础与写作,统考,5190,广东科学技术职业学院,1500,不限
公办,韩山师范学院,43,035,普通批,社会工作,政治 / 英语,民法,社会工作概论,校考,4590,广东科学技术职业学院,1500,不限
公办,韩山师范学院,44,036,普通批,生物技术,政治 / 英语,高等数学,遗传学,统考,5190,广东食品药品职业学院,430-1530,不限
公办,韩山师范学院,45,037,普通批,产品设计,政治 / 英语,艺术概论,设计基础,统考,10000,广东文艺职业学院,1500,限招
公办,韩山师范学院,46,038,普通批,电气工程及其自动化,政治 / 英语,高等数学,电子技术基础,统考,5190,广东交通职业技术学院,650-1500,不限
公办,韩山师范学院,47,039,普通批,电子信息工程,政治 / 英语,高等数学,电子技术基础,统考,5190,广东交通职业技术学院,650-1600,不限
公办,韩山师范学院,48,040,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,5190,广东食品药品职业学院,430-1530,不限
公办,韩山师范学院,49,041,普通批,食品质量与安全,政治 / 英语,高等数学,食品化学与分析,校考,5190,广东食品药品职业学院,430-1530,不限
公办,韩山师范学院,50,042,普通批,财务管理,政治 / 英语,高等数学,基础会计学,统考,4590,江门职业技术学院,1500,不限
公办,韩山师范学院,51,043,普通批,学前教育（师范）,政治 / 英语,教育理论,学前教育基础,统考,4590,江门职业技术学院,1500,不限
公办,韩山师范学院,52,044,普通批,食品质量与安全,政治 / 英语,高等数学,食品化学与分析,校考,5190,广州城市职业学院,650-1600,不限
公办,韩山师范学院,53,045,普通批,产品设计,政治 / 英语,艺术概论,设计基础,统考,10000,校本部,650-1600,限招
公办,韩山师范学院,54,046,普通批,美术学（师范）,政治 / 英语,艺术概论,"美术学综合(色彩+素描)",校考,10000,校本部,650-1600,限招
公办,韩山师范学院,55,047,普通批,数学与应用数学(师范),政治 / 英语,高等数学,数学专业综合,统考,5190,校本部,650-1600,不限
公办,韩山师范学院,56,048,普通批,英语（师范）,政治 / 英语,大学语文,英语基础与写作,统考,5190,校本部,650-1600,不限
公办,韩山师范学院,57,049,普通批,汉语言文学（师范）,政治 / 英语,大学语文,汉语言文学学科基础,统考,4590,校本部,650-1600,不限
公办,韩山师范学院,58,050,普通批,音乐学（师范）,政治 / 英语,艺术概论,音乐综合,校考,10000,校本部,650-1600,限招
公办,韩山师范学院,74,033,普通批,数据科学与大数据技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,5190,广东科学技术职业学院,1500,不限
公办,惠州学院,01,005,普通批,土木工程,政治 / 英语,高等数学,土木工程材料,校考,5710,广东建设职业技术学院,1200,不限
公办,惠州学院,02,007,普通批,服装与服饰设计,政治 / 英语,艺术概论,设计基础,统考,10000,广东职业技术学院,1300-1500,限招
公办,惠州学院,03,010,普通批,物流管理,政治 / 英语,管理学,物流学,校考,5050,惠州城市职业学院,750-1500,不限
公办,惠州学院,04,014,普通批,电子信息工程,政治 / 英语,高等数学,电子技术基础,统考,5710,惠州工程职业学院,950-1150,限招
公办,惠州学院,05,015,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,5710,惠州工程职业学院,950-1150,不限
公办,惠州学院,06,016,普通批,社会工作,政治 / 英语,民法,法理学,统考,5050,惠州卫生职业技术学院,1100,不限
公办,惠州学院,07,019,普通批,社会工作,政治 / 英语,民法,法理学,校考,5050,中山职业技术学院,1000-1600,不限
公办,惠州学院,08,009,普通批,生物技术,政治 / 英语,高等数学,遗传学,统考,5710,广州城市职业学院,1100,不限
